target	source	value
GCoM	Mishima	1
GCoM	Yosano	1
GCoM	Toyohashi	1
GCoM	Kaga	1
GCoM	Kasai	1
GCoM	Kyoto	1
GCoM	Takayama village	1
GCoM	Tokorozawa	1
GCoM	Seoul	1
GCoM	Daegu	1
GCoM	Suwon	1
GCoM	Changwon	1
GCoM	Ansan	1
GCoM	Jeonju	1
GCoM	Nam-Gu	1
GCoM	Dangjin	1
GCoM	Taipei	1
GCoM	Kaohsiung	1
GCoM	New Taipei	1
GCoM	Taoyuan	1
GCoM	Tainan	1
GCoM	Taichung	1
ASCN	Bandar Seri Begawan	1
ASCN	Battambang	1
ASCN	Phnom Penh	1
ASCN	Siem Reap	1
ASCN	Makassar	1
ASCN	Banyuwangi	1
ASCN	Jakarta	1
ASCN	Luang Prebang	1
ASCN	Vientiane	1
ASCN	Johor Bahru	1
ASCN	Kuala Lumpur	1
ASCN	Kota Kinabalu	1
ASCN	Kuching	1
ASCN	Naypyidaw	1
ASCN	Mandalay	1
ASCN	Yangon	1
ASCN	Cebu	1
ASCN	Davao	1
ASCN	Manila	1
ASCN	Singapore	1
ASCN	Bangkok	1
ASCN	Chonburi	1
ASCN	Phuket	1
ASCN	Da Nang	1
ASCN	Hanoi	1
ASCN	Ho Chi Minh City	1
IAEC	Adelaide	1
IAEC	Bhimeshwor	1
IAEC	Bethlehem	1
IAEC	Caluya	1
IAEC	Andong	1
IAEC	Buk-Gu	1
IAEC	Changwon	1
IAEC	Dalseo-gu	1
IAEC	Damyang	1
IAEC	Dangjin	1
IAEC	Gagseo-gu	1
IAEC	Geochang	1
IAEC	Gimhae	1
IAEC	Gumi	1
IAEC	Gunsan	1
IAEC	Gwangju	1
IAEC	Gyeongsan	1
IAEC	Hadong	1
IAEC	Hoengseong	1
IAEC	Jecheon	1
IAEC	Jincheon	1
IAEC	Paju	1
IAEC	Pohang	1
IAEC	Saha-gu	1
IAEC	Suncheon	1
IAEC	Suseong-gu	1
IAEC	Ulsan jung-gu	1
IAEC	Yeosu	1
IAEC	Phuket	1
SCN	London	1
SCN	AL-Karak	1
SCN	Beirut	1
SCN	Dhaka	1
SCN	Irbid	1
SCN	Majdal Anjar	1
SCN	Male	1
SCN	Mumbai	1
SCN	Narayanganj	1
SCN	Nowshera	1
SCN	Peshawar	1
SCN	Quetta	1
SCN	Saida	1
SCN	Tripoli	1
SCN	Victoria	1
SCN	Zarga	1
SCN	Victoria	1
metropolis	Barcelona	1
metropolis	Ahvaz	1
metropolis	Amman	1
metropolis	Baghdad	1
metropolis	Bangkok	1
metropolis	Beijing	1
metropolis	Beyrouth	1
metropolis	Bhopal	1
metropolis	Bogor	1
metropolis	Busan	1
metropolis	Changchun	1
metropolis	Changsha	1
metropolis	Chengdu	1
metropolis	Chongqing	1
metropolis	Colombo	1
metropolis	Daegu	1
metropolis	Daejeon	1
metropolis	Dalian	1
metropolis	Diyarbakir	1
metropolis	East Kalimantan	1
metropolis	Faisalabad	1
metropolis	Fuzhou	1
metropolis	Gaziantep	1
metropolis	Goyang	1
metropolis	Guangzhou	1
metropolis	Gujranwala	1
metropolis	Gwangju	1
metropolis	Gyeonggi-do	1
metropolis	Haikou	1
metropolis	Hangzhou	1
metropolis	Hanoi	1
metropolis	Harbin	1
metropolis	Hyderabad	1
metropolis	Incheon	1
metropolis	Isfahan	1
metropolis	istanbul	1
metropolis	Jakarta	1
metropolis	Jilin	1
metropolis	Jinan	1
metropolis	Kaohsiung	1
metropolis	Karaj	1
metropolis	Kathmandu	1
metropolis	Kuala Lumpur	1
metropolis	Kunming	1
metropolis	Lahore	1
metropolis	Male	1
metropolis	Mashhad	1
metropolis	Nanjing	1
metropolis	Nanning	1
metropolis	New Delhi	1
metropolis	Taipei	1
metropolis	Ramallah	1
metropolis	Seoul	1
metropolis	Shanghai	1
metropolis	Shenzhen	1
metropolis	Shiraz	1
metropolis	South Tangerang	1
metropolis	Surabaya	1
metropolis	Tabriz	1
metropolis	Taichung	1
metropolis	Taipei	1
metropolis	Tehran	1
metropolis	Tianjin	1
metropolis	Ulsan	1
metropolis	Wuhan	1
metropolis	Xian	1
metropolis	Xiamen	1
metropolis	Yiwu	1
metropolis	Zhengzhou	1
SEANNET	New York	1
SEANNET	Mandalay	1
SEANNET	Chiang Mai	1
SEANNET	Bangkok	1
SEANNET	Manila	1
SEANNET	Ho Chi Minh City	1
SEANNET	Surabaya	1
ANMC21	Yangon	1
ANMC21	Taipei	1
ANMC21	Delhi	1
ANMC21	Jakarta	1
ANMC21	Tokyo	1
ANMC21	Seoul	1
ANMC21	Kuala Lumpur	1
ANMC21	Ulaanbaatar	1
ANMC21	Manila	1
ANMC21	Tomsk	1
ANMC21	Singapore	1
ANMC21	Bangkok	1
ANMC21	Hanoi	1
PNLG	Preah Sihanouk	1
PNLG	Changyi	1
PNLG	Dongying	1
PNLG	Fangchenggang	1
PNLG	Haikou	1
PNLG	Haiyang	1
PNLG	Laoting	1
PNLG	Lianyungang	1
PNLG	Qinzhou	1
PNLG	Quanzhou	1
PNLG	Xiamen	1
PNLG	Badung Regency	1
PNLG	Bali Province	1
PNLG	Buleleng Regency	1
PNLG	Denpasar	1
PNLG	Gianyar	1
PNLG	Jakarta	1
PNLG	Jembrana Regency	1
PNLG	Sepang	1
PNLG	Pingtan	1
PNLG	Sanya	1
PNLG	Kampot	1
PNLG	Tangerang	1
PNLG	Karangasem Regency	1
PNLG	Klungklung Regency	1
PNLG	Sukabumi	1
PNLG	Tabanan	1
PNLG	Shima	1
PNLG	Northern Selangor	1
PNLG	Port Klang	1
PNLG	Bataan	1
PNLG	Batangas	1
PNLG	Cavite	1
PNLG	Guimaras	1
PNLG	Changwon	1
PNLG	Shigwa	1
PNLG	Chonburi	1
PNLG	Da Nang	1
PNLG	Quang Nam	1
PNLG	Thua Thien Hue	1
PNLG	Beihai	1
PNLG	Ansan	1
PNLG	Wenzhou	1
PNLG	Kep	1
PNLG	Koh Kong	1
KIN	Dhaka	1
KIN	Sylhet	1
KIN	Siem Reap	1
KIN	Beijing	1
KIN	Chongqing	1
KIN	Dalian	1
KIN	Guiyang	1
KIN	Jiangyin	1
KIN	Lanzhou	1
KIN	Ningbo	1
KIN	Rongcheng	1
KIN	Shanghai	1
KIN	Shenzhen	1
KIN	Taiyuan	1
KIN	Weihai	1
KIN	Yantai	1
KIN	Zhangjiagang	1
KIN	Zhenjiang	1
KIN	Hong Kong	1
KIN	Macau	1
KIN	Lami	1
KIN	Bhopal	1
KIN	Kanpur	1
KIN	Balikpapan	1
KIN	Bekasi	1
KIN	Gianyar	1
KIN	Jakarta	1
KIN	Medan	1
KIN	Semarang	1
KIN	Sidoarjo	1
KIN	Surabaya	1
KIN	District 12	1
KIN	Tehran	1
KIN	Fukuoka	1
KIN	Hiroshima	1
KIN	Kitakyushu	1
KIN	Minamata	1
KIN	Ube	1
KIN	Yokohama	1
KIN	Cheongju	1
KIN	Daegu	1
KIN	Jeju	1
KIN	Jeonju	1
KIN	Pohang	1
KIN	Sibu	1
KIN	Khan-Uul District	1
KIN	Ulaanbaatar	1
KIN	Yangon	1
KIN	Birendranagar	1
KIN	Dhankuta	1
KIN	Dot-Silgadi	1
KIN	Hetauda	1
KIN	Kathmandu	1
KIN	Lekhnath	1
KIN	Karachi	1
KIN	Quetta	1
KIN	Bago	1
KIN	Cebu	1
KIN	Puerto Princesa	1
